Geography,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
"Division No.  5, Subd. D",N.L.,30,34,-11.8,"1,320.15",0
"Division No.  5, Subd. E",N.L.,188,216,-13,"1,167.50",0.2
"Division No.  5, Subd. F",N.L.,746,823,-9.4,823.72,0.9
"Division No.  5, Subd. G",N.L.,414,468,-11.5,"3,409.22",0.1
Gillams,N.L.,506,410,23.4,6.72,75.3
Hampden,N.L.,439,429,2.3,32.99,13.3
Howley,N.L.,179,205,-12.7,19.91,9
Hughes Brook,N.L.,236,255,-7.5,1.56,151.3
Humber Arm South,N.L.,"1,537","1,599",-3.9,65.14,23.6
Irishtown-Summerside,N.L.,"1,260","1,418",-11.1,11.88,106
Jackson's Arm,N.L.,277,284,-2.5,7.07,39.2
Lark Harbour,N.L.,508,522,-2.7,12.94,39.3
Massey Drive,N.L.,"1,606","1,632",-1.6,2.45,655.1
McIvers,N.L.,575,538,6.9,11.97,48
Meadows,N.L.,404,626,-35.5,3.82,105.7
Mount Moriah,N.L.,700,746,-6.2,15.71,44.6
Pasadena,N.L.,"3,524","3,620",-2.7,49.17,71.7
Reidville,N.L.,550,509,8.1,58.28,9.4
Steady Brook,N.L.,416,444,-6.3,1.24,335.2
York Harbour,N.L.,372,344,8.1,13.88,26.8
Appleton,N.L.,620,574,8,6.33,98
Badger,N.L.,682,704,-3.1,1.89,361.6
Bishop's Falls,N.L.,"3,082","3,156",-2.3,26.38,116.8
Botwood,N.L.,"2,778","2,875",-3.4,14.56,190.8
Buchans,N.L.,590,642,-8.1,4.63,127.6
"Division No.  6, Subd. A",N.L.,101,128,-21.1,"5,264.73",0
"Division No.  6, Subd. C",N.L.,354,681,-48,"4,007.24",0.1
"Division No.  6, Subd. D 2",N.L.,596,563,5.9,"4,180.74",0.1
"Division No.  6, Subd. E",N.L.,175,194,-9.8,"2,294.74",0.1
Gander,N.L.,"11,880","11,688",1.6,104.53,113.7
Glenwood,N.L.,739,778,-5,7.08,104.4
Grand Falls-Windsor,N.L.,"13,853","14,171",-2.2,54.84,252.6
Millertown,N.L.,87,81,7.4,3.08,28.3
Norris Arm,N.L.,708,737,-3.9,41.35,17.1
Northern Arm,N.L.,371,426,-12.9,24.94,14.9
Peterview,N.L.,723,828,-12.7,6.34,114.1
Bonavista,N.L.,"3,190","3,448",-7.5,31.56,101.1
Centreville-Wareham-Trinity,N.L.,"1,116","1,147",-2.7,37.04,30.1
Clarenville,N.L.,"6,704","6,291",6.6,139.91,47.9
"Division No.  7, Subd. A",N.L.,140,143,-2.1,287.64,0.5
"Division No.  7, Subd. B",N.L.,57,10,470,858.94,0.1
"Division No.  7, Subd. D",N.L.,259,230,12.6,"2,457.85",0.1
"Division No.  7, Subd. E 2",N.L.,"2,573","2,649",-2.9,"1,631.51",1.6
"Division No.  7, Subd. F",N.L.,831,846,-1.8,296.95,2.8
"Division No.  7, Subd. G",N.L.,316,343,-7.9,144.35,2.2
"Division No.  7, Subd. I",N.L.,80,71,12.7,170.8,0.5
"Division No.  7, Subd. J",N.L.,577,459,25.7,272.61,2.1
"Division No.  7, Subd. K",N.L.,"1,153","1,275",-9.6,484.96,2.4
"Division No.  7, Subd. L",N.L.,"1,183","1,232",-4,242.89,4.9
"Division No.  7, Subd. M",N.L.,"1,856","1,966",-5.6,450.25,4.1
"Division No.  7, Subd. N",N.L.,55,49,12.2,"1,402.03",0
Dover,N.L.,579,662,-12.5,11.12,52.1
Duntara,N.L.,36,30,20,17.64,2
Eastport,N.L.,527,501,5.2,18.48,28.5
Elliston,N.L.,315,308,2.3,10.07,31.3
Gambo,N.L.,"1,816","1,978",-8.2,93.03,19.5
Glovertown,N.L.,"1,948","2,083",-6.5,69.85,27.9
Greenspond,N.L.,257,266,-3.4,2.75,93.3
Happy Adventure,N.L.,118,200,-41,9.62,12.3
Hare Bay,N.L.,925,969,-4.5,34.11,27.1
Indian Bay,N.L.,172,175,-1.7,86.49,2
Keels,N.L.,46,51,-9.8,6.67,6.9
King's Cove,N.L.,75,90,-16.7,21.44,3.5
Musgravetown,N.L.,561,564,-0.5,13.49,41.6
New-Wes-Valley,N.L.,"2,044","2,172",-5.9,132.7,15.4
Port Blandford 2,N.L.,513,488,5.1,51,10.1
Port Rexton,N.L.,361,340,6.2,11.64,31
Salvage,N.L.,108,124,-12.9,15.85,6.8
Sandringham,N.L.,205,229,-10.5,9.57,21.4
Sandy Cove,N.L.,120,122,-1.6,8.99,13.4
St. Brendan's,N.L.,125,145,-13.8,9.76,12.8
Terra Nova,N.L.,99,73,35.6,2.44,40.7
Traytown,N.L.,279,267,4.5,13.3,21
Trinity (Trinity Bay),N.L.,76,169,-55,12.92,5.9
Trinity Bay North,N.L.,"1,649","1,819",-9.3,26.19,63
Baie Verte,N.L.,"1,311","1,313",-0.2,371.37,3.5
Baytona,N.L.,251,262,-4.2,15.15,16.6
Beachside,N.L.,97,132,-26.5,2.58,37.5
Birchy Bay,N.L.,511,550,-7.1,49.33,10.4
Brent's Cove,N.L.,119,157,-24.2,1.02,116.4
Brighton,N.L.,163,188,-13.3,2.26,72.2
Burlington,N.L.,304,314,-3.2,4.09,74.3
Campbellton,N.L.,459,452,1.5,35.81,12.8
Carmanville,N.L.,784,740,5.9,42.68,18.4
Change Islands,N.L.,184,208,-11.5,5.36,34.3
Coachman's Cove,N.L.,111,105,5.7,18.99,5.8
Comfort Cove-Newstead,N.L.,345,407,-15.2,29.97,11.5
Cottlesville,N.L.,244,271,-10,11.15,21.9
Crow Head,N.L.,156,177,-11.9,3.03,51.5
"Division No.  8, Subd. A",N.L.,386,317,21.8,"2,270.17",0.2
"Division No.  8, Subd. C",N.L.,563,440,28,"1,213.88",0.5
"Division No.  8, Subd. D",N.L.,5,10,-50,20.11,0.2
"Division No.  8, Subd. E",N.L.,496,548,-9.5,707.99,0.7
"Division No.  8, Subd. F",N.L.,867,930,-6.8,106.35,8.2
"Division No.  8, Subd. G",N.L.,409,433,-5.5,521.39,0.8
"Division No.  8, Subd. H",N.L.,"1,788","1,900",-5.9,178.01,10
"Division No.  8, Subd. I",N.L.,163,216,-24.5,8.97,18.2
"Division No.  8, Subd. L",N.L.,"2,772","3,060",-9.4,"1,315.12",2.1
"Division No.  8, Subd. M",N.L.,141,130,8.5,658.7,0.2
"Division No.  8, Subd. O",N.L.,275,309,-11,409.66,0.7
"Division No.  8, Subd. P",N.L.,297,337,-11.9,379.19,0.8
Embree,N.L.,679,701,-3.1,18.35,37
Fleur de Lys,N.L.,207,244,-15.2,39.54,5.2
Fogo Island,N.L.,"2,117","2,244",-5.7,238.25,8.9
King's Point,N.L.,653,659,-0.9,45.72,14.3
LaScie,N.L.,820,872,-6,29.16,28.1
Leading Tickles,N.L.,296,292,1.4,26.59,11.1
Lewisporte,N.L.,"3,288","3,409",-3.5,36.02,91.3
Little Bay,N.L.,100,105,-4.8,1.66,60.4
Little Bay Islands,N.L.,0,71,-100,7.34,0
Little Burnt Bay,N.L.,238,281,-15.3,8.46,28.1
Lumsden,N.L.,535,501,6.8,19.2,27.9
Lushes Bight-Beaumont-Beaumont North,N.L.,169,168,0.6,34.52,4.9
Middle Arm,N.L.,443,474,-6.5,24.93,17.8
Miles Cove,N.L.,97,104,-6.7,3.98,24.3
Ming's Bight,N.L.,298,319,-6.6,3.81,78.3
Musgrave Harbour,N.L.,946,990,-4.4,67.3,14.1
Nippers Harbour,N.L.,74,85,-12.9,1.93,38.3
Pacquet,N.L.,145,164,-11.6,14.44,10
Pilley's Island,N.L.,286,294,-2.7,34.65,8.3
Point Leamington,N.L.,574,591,-2.9,26.8,21.4
Point of Bay,N.L.,137,154,-11,21.62,6.3
Port Anson,N.L.,42,130,-67.7,7.72,5.4
Robert's Arm,N.L.,722,805,-10.3,36.09,20
Seal Cove (White Bay),N.L.,281,303,-7.3,10.79,26.1
South Brook,N.L.,420,482,-12.9,8.72,48.1
Springdale,N.L.,"2,965","2,971",-0.2,17.46,169.8
Summerford,N.L.,805,906,-11.1,16.04,50.2
Tilt Cove,N.L.,5,5,0,3.1,1.6
Triton,N.L.,896,983,-8.9,7.54,118.9
Twillingate,N.L.,"2,121","2,196",-3.4,25.6,82.8
Westport,N.L.,185,195,-5.1,5.23,35.4
Woodstock,N.L.,195,190,2.6,10.05,19.4
Anchor Point,N.L.,305,314,-2.9,2.26,134.9
Bellburns,N.L.,52,53,-1.9,8.83,5.9
Bird Cove,N.L.,175,179,-2.2,7.69,22.8
Conche,N.L.,149,170,-12.4,10.03,14.9
Cook's Harbour,N.L.,118,123,-4.1,1.94,61
Cow Head,N.L.,398,428,-7,17.27,23.1
Daniel's Harbour,N.L.,220,253,-13,7.68,28.6
"Division No.  9, Subd. A",N.L.,183,121,51.2,"1,726.94",0.1
"Division No.  9, Subd. C",N.L.,"2,220","2,529",-12.2,"1,842.14",1.2
"Division No.  9, Subd. D",N.L.,534,643,-17,939.74,0.6
"Division No.  9, Subd. F",N.L.,81,71,14.1,"4,933.82",0
"Division No.  9, Subd. G",N.L.,96,41,134.1,"1,256.12",0.1
"Division No.  9, Subd. H",N.L.,155,159,-2.5,"2,096.29",0.1
Englee,N.L.,489,527,-7.2,28.82,17
Flower's Cove,N.L.,272,270,0.7,6.77,40.2
Glenburnie-Birchy Head-Shoal Brook,N.L.,241,224,7.6,6.52,36.9
Goose Cove East,N.L.,172,174,-1.1,2.71,63.5
Hawke's Bay,N.L.,297,315,-5.7,46.41,6.4
Main Brook,N.L.,246,243,1.2,28,8.8
Norris Point,N.L.,602,670,-10.1,4.84,124.4
Parson's Pond,N.L.,368,345,6.7,12.34,29.8
Port Saunders,N.L.,678,674,0.6,38.5,17.6
Port au Choix,N.L.,742,789,-6,35.56,20.9
Raleigh,N.L.,150,177,-15.3,11.27,13.3
