Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Bushe River 207,IRI,Alta.,492,503,-2.2,114.45,4.3
Carcajou 187,S-É,Alta.,0,0,...,0.53,0
Child Lake 164A,IRI,Alta.,172,216,-20.4,26.95,6.4
Clear Hills 3,MD,Alta.,"3,006","3,018",-0.4,"15,025.54",0.2
Clear Hills 152C 3,IRI,Alta.,0,5,-100,16.53,0
Desmarais 3,S-É,Alta.,116,110,5.5,1.54,75.5
Drift Pile River 150,IRI,Alta.,775,828,-6.4,64.95,11.9
Fort Vermilion 173B,IRI,Alta.,73,96,-24,0.62,117.3
Fox Lake 162,IRI,Alta.,"2,488","2,032",22.4,98.03,25.4
Hay Lake 209,IRI,Alta.,957,883,8.4,99.29,9.6
High Level,T,Alta.,"3,922","3,159",24.2,28.7,136.7
High Prairie,T,Alta.,"2,380","2,564",-7.2,7.01,339.5
Hines Creek,VL,Alta.,335,346,-3.2,4.88,68.7
Jean Baptiste Gambler 183 3,IRI,Alta.,210,253,-17,1.99,105.4
John D'Or Prairie 215 4,IRI,Alta.,702,"1,196",-41.3,140.04,5
Kapawe'no First Nation 150B,IRI,Alta.,42,154,-72.7,0.29,145.1
Kapawe'no First Nation 150D,IRI,Alta.,5,5,0,3.9,1.3
Kapawe'no First Nation 229 3,IRI,Alta.,97,5,"1,840.00",1.23,78.7
Kapawe'no First Nation 231 3,IRI,Alta.,5,42,-88.1,0.5,9.9
Lesser Slave River No. 124,MD,Alta.,"2,861","2,803",2.1,"10,041.79",0.3
Little Buffalo,S-É,Alta.,441,452,-2.4,12.86,34.3
Loon Lake 235 3,IRI,Alta.,487,540,-9.8,70.94,6.9
Mackenzie County 4,SM,Alta.,"12,804","11,171",14.6,"79,629.26",0.2
Manning,T,Alta.,"1,126","1,183",-4.8,3.71,303.1
Nampa,VL,Alta.,367,364,0.8,1.69,217.5
Northern Lights County,MD,Alta.,"4,152","4,200",-1.1,"20,627.02",0.2
Northern Sunrise County 3,MD,Alta.,"1,711","1,921",-10.9,"20,915.18",0.1
Opportunity No. 17 3,MD,Alta.,"3,382","3,253",4,"28,857.88",0.1
Peerless Trout 238 3,IRI,Alta.,0,0,...,37.36,0
Rainbow Lake,T,Alta.,495,795,-37.7,10.76,46
Sawridge 150G,IRI,Alta.,41,20,105,9.4,4.4
Sawridge 150H,IRI,Alta.,10,10,0,11.99,0.8
Slave Lake,T,Alta.,"6,836","6,651",2.8,14.31,477.7
Sucker Creek 150A,IRI,Alta.,703,689,2,60.7,11.6
Swan Hills,T,Alta.,"1,201","1,301",-7.7,25.87,46.4
Swan River 150E,IRI,Alta.,400,413,-3.1,39.47,10.1
Tall Cree 173,IRI,Alta.,282,250,12.8,37.09,7.6
Tall Cree 173A,IRI,Alta.,201,224,-10.3,53.66,3.7
Upper Hay River 212,IRI,Alta.,381,294,29.6,14.49,26.3
Utikoomak Lake 155,IRI,Alta.,734,723,1.5,64.67,11.4
Utikoomak Lake 155A,IRI,Alta.,145,127,14.2,10.28,14.1
Wabasca 166,IRI,Alta.,158,160,-1.3,84.64,1.9
Wabasca 166A 3,IRI,Alta.,559,596,-6.2,6.64,84.1
Wabasca 166B,IRI,Alta.,89,190,-53.2,24.95,3.6
Wabasca 166C,IRI,Alta.,179,188,-4.8,32.65,5.5
Wabasca 166D,IRI,Alta.,640,961,-33.4,58.15,11
Woodland Cree 226 3,IRI,Alta.,655,678,-3.4,118.7,5.5
Woodland Cree 227 3,IRI,Alta.,30,15,100,6.55,4.6
Woodland Cree 228,IRI,Alta.,161,150,7.3,36.52,4.4
Fox Creek,T,Alta.,"1,639","1,971",-16.8,12.26,133.6
Greenview No. 16 3,MD,Alta.,"8,584","9,154",-6.2,"32,925.53",0.3
Sturgeon Lake 154,IRI,Alta.,"1,291","1,447",-10.8,148.72,8.7
Sturgeon Lake 154A,IRI,Alta.,39,53,-26.4,8.77,4.4
Valleyview,T,Alta.,"1,673","1,863",-10.2,9.17,182.4
Beaverlodge 4,T,Alta.,"2,271","2,465",-7.9,5.38,421.9
Berwyn,VL,Alta.,577,538,7.2,1.57,366.6
Birch Hills County,MD,Alta.,"1,516","1,553",-2.4,"2,848.75",0.5
Donnelly 3,VL,Alta.,338,359,-5.8,1.26,269
Duncan's 151A 3,IRI,Alta.,111,145,-23.4,20.12,5.5
Fairview,T,Alta.,"2,817","2,998",-6,10.67,263.9
Fairview No. 136,MD,Alta.,"1,580","1,604",-1.5,"1,373.66",1.2
Falher,T,Alta.,"1,001","1,047",-4.4,2.83,354.1
Girouxville,VL,Alta.,278,219,26.9,0.66,422.4
Grande Prairie 4,CY,Alta.,"64,141","63,166",1.5,132.71,483.3
Grande Prairie County No. 1 6,MD,Alta.,"23,769","22,502",5.6,"5,790.59",4.1
Grimshaw,T,Alta.,"2,601","2,718",-4.3,7.08,367.2
Horse Lakes 152B,IRI,Alta.,489,469,4.3,14.47,33.8
Hythe,VL,Alta.,854,827,3.3,4.03,211.9
McLennan,T,Alta.,695,701,-0.9,3.58,194.3
Peace No. 135 3,MD,Alta.,"1,581","1,752",-9.8,847.22,1.9
Peace River,T,Alta.,"6,619","6,842",-3.3,25.34,261.2
Rycroft,VL,Alta.,550,612,-10.1,1.85,297.1
Saddle Hills County,MD,Alta.,"2,338","2,225",5.1,"5,827.70",0.4
Sexsmith,T,Alta.,"2,427","2,620",-7.4,13.01,186.5
Smoky River No. 130 3,MD,Alta.,"1,684","2,006",-16.1,"2,834.18",0.6
Spirit River,T,Alta.,849,995,-14.7,3.11,272.8
Spirit River No. 133,MD,Alta.,649,700,-7.3,679.86,1
Wembley 4,T,Alta.,"1,432","1,516",-5.5,4.74,302.1
Ahahswinis 1,IRI,B.C.,150,119,26.1,0.41,368
Alberni 2,IRI,B.C.,0,10,-100,0.55,0
Alberni-Clayoquot A,RDA,B.C.,256,243,5.3,"1,619.77",0.2
Alberni-Clayoquot B,RDA,B.C.,531,443,19.9,92.22,5.8
Alberni-Clayoquot C,RDA,B.C.,875,677,29.2,"3,199.27",0.3
Alberni-Clayoquot D,RDA,B.C.,"1,843","1,616",14,"1,398.89",1.3
Alberni-Clayoquot E,RDA,B.C.,"2,946","2,754",7,21.91,134.4
Alberni-Clayoquot F,RDA,B.C.,"1,977","1,935",2.2,186.53,10.6
Anacla 12,IRI,B.C.,104,82,26.8,0.93,112.1
Clakamucus 2,IRI,B.C.,0,0,...,0.1,0
Elhlateese 2,IRI,B.C.,10,5,100,2.3,4.4
Esowista 3,IRI,B.C.,90,94,-4.3,0.1,936.5
Hesquiat 1 5,IRI,B.C.,..,5,..,1.55,..
Ittatsoo 1,IRI,B.C.,321,274,17.2,0.68,474.8
Klehkoot 2,IRI,B.C.,15,15,0,1.17,12.8
Macoah 1,IRI,B.C.,27,19,42.1,0.43,62.5
Marktosis 15,IRI,B.C.,760,622,22.2,1.8,423
Numukamis 1,IRI,B.C.,0,5,-100,6.69,0
Opitsat 1,IRI,B.C.,153,150,2,0.72,212.4
Port Alberni,CY,B.C.,"18,259","17,678",3.3,19.66,928.9
Refuge Cove 6 5,IRI,B.C.,..,44,..,0.17,..
Sachsa 4,IRI,B.C.,0,0,...,0.07,0
Tin Wis 11,IRI,B.C.,26,0,...,0.14,188
Tofino 2,DM,B.C.,"2,516","1,967",27.9,10.56,238.3
Tsahaheh 1,IRI,B.C.,596,542,10,4.01,148.6
Ucluelet,DM,B.C.,"2,066","1,717",20.3,6.48,318.8
Babine 16 3,IRI,B.C.,0,5,-100,2.8,0
Babine 25,IRI,B.C.,83,112,-25.9,0.48,171.3
Babine 6 3,IRI,B.C.,75,81,-7.4,1.82,41.2
Babine Lake 21B,IRI,B.C.,0,0,...,0.02,0
Binche 2,IRI,B.C.,118,182,-35.2,4.63,25.5
Bulkley-Nechako A,RDA,B.C.,"5,587","5,256",6.3,"3,674.43",1.5
Bulkley-Nechako B 3,RDA,B.C.,"1,706","1,885",-9.5,"3,624.72",0.5
Bulkley-Nechako C 3,RDA,B.C.,"1,266","1,420",-10.8,"25,527.99",0
Bulkley-Nechako D,RDA,B.C.,"1,607","1,472",9.2,"4,389.75",0.4
Bulkley-Nechako E,RDA,B.C.,"1,512","1,593",-5.1,"15,856.11",0.1
Bulkley-Nechako F,RDA,B.C.,"3,517","3,665",-4,"5,386.26",0.7
Bulkley-Nechako G,RDA,B.C.,836,903,-7.4,"14,417.38",0.1
Burns Lake,VL,B.C.,"1,659","1,779",-6.7,6.54,253.7
Burns Lake 18,IRI,B.C.,33,48,-31.3,0.56,59.4
Cheslatta 1,IRI,B.C.,49,84,-41.7,10.81,4.5
Duncan Lake 2,IRI,B.C.,5,5,0,0.67,7.5
Dzitline Lee 9,IRI,B.C.,15,10,50,5.44,2.8
Fort St. James,DM,B.C.,"1,386","1,598",-13.3,23.45,59.1
Francois Lake 7 5,IRI,B.C.,..,10,..,1.38,..
Fraser Lake,VL,B.C.,965,988,-2.3,4.06,237.4
Granisle,VL,B.C.,337,303,11.2,39.85,8.5
Houston,DM,B.C.,"3,052","2,993",2,72.88,41.9
Jean Baptiste 28,IRI,B.C.,5,0,...,1.42,3.5
Laketown 3,IRI,B.C.,16,18,-11.1,2.44,6.6
Mission Lands 17,IRI,B.C.,0,0,...,0.48,0
Nak'azdli,IRI,B.C.,528,548,-3.6,3.09,170.9
Nautley (Fort Fraser) 1,IRI,B.C.,227,192,18.2,5.07,44.8
Nedoats 11,IRI,B.C.,0,0,...,4,0
Noonla 6 3,IRI,B.C.,0,5,-100,0.75,0
North Tacla Lake 3,IRI,B.C.,243,187,29.9,0.98,248
Omineca 1 5,IRI,B.C.,..,5,..,0.57,..
Palling 1 3,IRI,B.C.,92,63,46,0.73,125.3
Poison Creek 17A,IRI,B.C.,10,5,100,0.22,45.6
Seaspunkut 4,IRI,B.C.,10,15,-33.3,2.39,4.2
Skins Lake 16A,IRI,B.C.,10,5,100,0.67,14.9
Skins Lake 16B,IRI,B.C.,0,23,-100,0.63,0
Smithers,T,B.C.,"5,378","5,401",-0.4,15.26,352.4
Sowchea 3,IRI,B.C.,5,0,...,1,5
Stellaquo (Stella) 1,IRI,B.C.,189,202,-6.4,8.31,22.7
Stony Creek 1,IRI,B.C.,323,313,3.2,26.37,12.2
Tache 1,IRI,B.C.,400,401,-0.2,8.98,44.5
Tacla Lake (Ferry Landing) 9,IRI,B.C.,15,0,...,0.72,20.7
Tadinlay 15,IRI,B.C.,0,0,...,1.82,0
Tatla West 11,IRI,B.C.,0,0,...,0.45,0
Tatla't East 2,IRI,B.C.,0,5,-100,0.7,0
Telkwa,VL,B.C.,"1,474","1,327",11.1,7.04,209.5
Uncha Lake 13A 5,IRI,B.C.,..,10,..,0.38,..
Vanderhoof 3,DM,B.C.,"4,346","4,434",-2,53.93,80.6
Williams Prairie Meadow 1A,IRI,B.C.,20,15,33.3,0.68,29.5
Woyenne 27,IRI,B.C.,548,243,125.5,0.15,"3,753.40"
Ye Koo Che 3,IRI,B.C.,90,87,3.4,1.99,45.1
Becher Bay 1,IRI,B.C.,221,129,71.3,2.64,83.9
Central Saanich,DM,B.C.,"17,385","16,814",3.4,41.2,421.9
Cole Bay 3,IRI,B.C.,266,332,-19.9,2.82,94.4
Colwood,CY,B.C.,"18,961","16,859",12.5,17.66,"1,073.60"
East Saanich 2,IRI,B.C.,"1,790","1,689",6,2.6,687.5
Esquimalt,DM,B.C.,"17,533","17,655",-0.7,7.08,"2,476.70"
Esquimalt,IRI,B.C.,120,..,..,0.22,554.3
Galiano Island 9,IRI,B.C.,0,0,...,0.24,0
Gordon River 2,IRI,B.C.,79,111,-28.8,0.95,83.1
Highlands,DM,B.C.,"2,482","2,225",11.6,38.01,65.3
Juan de Fuca (Part 1) 3,RDA,B.C.,"5,132","4,670",9.9,221.48,23.2
Juan de Fuca (Part 2) 3,RDA,B.C.,399,190,110,"1,267.72",0.3
Langford,CY,B.C.,"46,584","35,342",31.8,41.43,"1,124.40"
Metchosin,DM,B.C.,"5,067","4,708",7.6,69.57,72.8
New Songhees 1A,IRI,B.C.,"1,839","1,842",-0.2,0.71,"2,590.10"
North Saanich,DM,B.C.,"12,235","11,249",8.8,37.16,329.2
Oak Bay,DM,B.C.,"17,990","18,094",-0.6,10.52,"1,710.10"
Saanich,DM,B.C.,"117,735","114,148",3.1,103.59,"1,136.60"
Saltspring Island,RDA,B.C.,"11,635","10,557",10.2,182.94,63.6
Sidney,T,B.C.,"12,318","11,672",5.5,5.11,"2,412.80"
Sooke,DM,B.C.,"15,086","13,001",16,56.6,266.6
South Saanich 1,IRI,B.C.,712,822,-13.4,2.09,340.9
Southern Gulf Islands,RDA,B.C.,"6,101","4,732",28.9,191.08,31.9
T'Sou-ke,IRI,B.C.,230,225,2.2,0.75,307.8
Union Bay 4,IRI,B.C.,109,94,16,0.29,376.6
Victoria,CY,B.C.,"91,867","85,792",7.1,19.45,"4,722.30"
View Royal,T,B.C.,"11,575","10,408",11.2,14.33,807.6
Agats Meadow 8,IRI,B.C.,0,0,...,1.2,0
Alexandria 3 5,IRI,B.C.,..,40,..,9.31,..
Alexis Creek 14,IRI,B.C.,5,0,...,1.64,3
Alexis Creek 16,IRI,B.C.,0,0,...,0.38,0
Alexis Creek 21,IRI,B.C.,0,0,...,3.61,0
Alexis Creek 34,IRI,B.C.,0,0,...,1.32,0
Alkali Lake 1,IRI,B.C.,358,328,9.1,2.59,138.3
Alkali Lake 4A,IRI,B.C.,5,10,-50,1.29,3.9
Anahim's Flat 1,IRI,B.C.,437,342,27.8,38.59,11.3
Anahim's Meadow,IRI,B.C.,10,10,0,4.19,2.4
Baezaeko River 27,IRI,B.C.,0,0,...,0.22,0
Baptiste Meadow 2,IRI,B.C.,0,5,-100,2.06,0
Betty Creek 18,IRI,B.C.,0,0,...,1.29,0
Canim Lake 1 5,IRI,B.C.,..,228,..,17.3,..
Canim Lake 2 5,IRI,B.C.,..,5,..,0.56,..
Canim Lake 4,IRI,B.C.,0,0,...,0.13,0
Canoe Creek 3,IRI,B.C.,0,0,...,28.03,0
Cariboo A 3,RDA,B.C.,"6,169","6,234",-1,778.12,7.9
Cariboo B,RDA,B.C.,"3,864","3,842",0.6,"1,413.47",2.7
Cariboo C,RDA,B.C.,"1,239","1,225",1.1,"7,377.49",0.2
Cariboo D,RDA,B.C.,"2,870","2,929",-2,849.54,3.4
Cariboo E,RDA,B.C.,"4,112","4,064",1.2,"1,745.18",2.4
Cariboo F,RDA,B.C.,"4,792","4,554",5.2,"9,740.20",0.5
Cariboo G 3,RDA,B.C.,"5,312","5,156",3,"2,646.03",2
Cariboo H,RDA,B.C.,"1,884","1,784",5.6,"2,593.68",0.7
Cariboo I 3,RDA,B.C.,"1,485","1,435",3.5,"11,915.99",0.1
Cariboo J,RDA,B.C.,616,642,-4,"25,880.08",0
Cariboo K,RDA,B.C.,447,398,12.3,"13,629.59",0
Cariboo L,RDA,B.C.,"4,769","4,204",13.4,"1,263.69",3.8
Charley Boy's Meadow 3,IRI,B.C.,0,0,...,4.68,0
Chilco Lake 1 5,IRI,B.C.,..,5,..,1,..
Chilco Lake 1A 5,IRI,B.C.,..,25,..,6.79,..
Coglistiko River 29,IRI,B.C.,0,0,...,0.62,0
Deep Creek 2,IRI,B.C.,111,91,22,15.67,7.1
Dog Creek 1,IRI,B.C.,88,79,11.4,1.36,64.6
Dog Creek 2,IRI,B.C.,17,20,-15,2.19,7.7
Dragon Lake 3 3,IRI,B.C.,15,26,-42.3,0.16,94
Euchinico Creek 17,IRI,B.C.,5,0,...,3.87,1.3
Fishtrap 19,IRI,B.C.,10,15,-33.3,0.28,36.1
Garden 5,IRI,B.C.,..,5,..,2.04,..
Johny Sticks 2,IRI,B.C.,10,10,0,3.07,3.3
Kluskus 1,IRI,B.C.,38,36,5.6,4.4,8.6
Lezbye 6 5,IRI,B.C.,..,20,..,0.89,..
Little Springs,IRI,B.C.,20,15,33.3,4.71,4.2
Lohbiee 3 5,IRI,B.C.,..,91,..,2.28,..
Michel Gardens 36,IRI,B.C.,5,5,0,0.04,120.8
Nazco 20,IRI,B.C.,81,90,-10,4.66,17.4
One Hundred Mile House 2,DM,B.C.,"1,928","1,918",0.5,53.01,36.4
Puntzi Lake 2,IRI,B.C.,5,0,...,0.23,21.6
Quesnel,CY,B.C.,"9,889","9,879",0.1,35.35,279.8
Quesnel 1 3,IRI,B.C.,110,107,2.8,5.45,20.2
Redstone Flat 1,IRI,B.C.,181,196,-7.7,3.45,52.5
Salmon River Meadow 7,IRI,B.C.,0,0,...,0.93,0
Sandy Harry 4,IRI,B.C.,0,5,-100,1.68,0
Soda Creek 1,IRI,B.C.,30,59,-49.2,4.03,7.4
Squinas 2,IRI,B.C.,137,134,2.2,4.16,33
Stone 1,IRI,B.C.,219,187,17.1,15.48,14.2
Sundayman's Meadow 3,IRI,B.C.,0,0,...,0.49,0
Swan Lake 3,IRI,B.C.,0,5,-100,0.96,0
Tanakut 4 5,IRI,B.C.,..,15,..,2.1,..
Thomas Squinas Ranch 2A,IRI,B.C.,5,0,...,2.56,2
Toosey 1,IRI,B.C.,104,107,-2.8,22.43,4.6
Towdystan Lake 3,IRI,B.C.,15,10,50,2.64,5.7
Trout Lake Alec 16,IRI,B.C.,0,15,-100,0.94,0
Ulkatcho 13,IRI,B.C.,0,0,...,2.01,0
Ulkatcho 14A,IRI,B.C.,116,155,-25.2,2.64,44
Wells,DM,B.C.,218,217,0.5,158.09,1.4
Williams Lake,CY,B.C.,"10,947","10,753",1.8,33.12,330.5
Williams Lake 1,IRI,B.C.,248,191,29.8,16.55,15
Windy Mouth 7 3,IRI,B.C.,5,5,0,0.03,148.4
Bella Bella 1,IRI,B.C.,"1,193","1,019",17.1,5.83,204.5
Bella Coola 1,IRI,B.C.,937,807,16.1,15.22,61.6
Central Coast A,RDA,B.C.,149,203,-26.6,"19,779.25",0
Central Coast C,RDA,B.C.,661,653,1.2,"3,963.65",0.2
Central Coast D,RDA,B.C.,403,399,1,304.21,1.3
Central Coast E,RDA,B.C.,162,148,9.5,359.53,0.5
Katit 1,IRI,B.C.,77,90,-14.4,6.04,12.7
Castlegar,CY,B.C.,"8,338","8,039",3.7,19.87,419.6
Central Kootenay A,RDA,B.C.,"2,241","1,930",16.1,"1,689.12",1.3
Central Kootenay B,RDA,B.C.,"4,802","4,657",3.1,"1,615.10",3
Central Kootenay C 3,RDA,B.C.,"1,475","1,472",0.2,740.25,2
Central Kootenay D,RDA,B.C.,"1,462","1,343",8.9,"5,781.11",0.3
Central Kootenay E,RDA,B.C.,"3,897","3,772",3.3,807.99,4.8
Central Kootenay F,RDA,B.C.,"4,116","3,963",3.9,404.38,10.2
Central Kootenay G,RDA,B.C.,"1,650","1,623",1.7,"1,509.14",1.1
Central Kootenay H 2,RDA,B.C.,"5,045","4,655",8.4,"3,288.20",1.5
Central Kootenay I,RDA,B.C.,"2,607","2,534",2.9,109.48,23.8
Central Kootenay J,RDA,B.C.,"3,517","3,137",12.1,"1,693.07",2.1
Central Kootenay K,RDA,B.C.,"1,784","1,681",6.1,"4,377.01",0.4
Creston 3,T,B.C.,"5,583","5,361",4.1,8.41,664.2
Creston 1,IRI,B.C.,93,112,-17,7.55,12.3
Kaslo,VL,B.C.,"1,049",968,8.4,3.01,348.7
Nakusp,VL,B.C.,"1,589","1,605",-1,8.04,197.7
Nelson,CY,B.C.,"11,106","10,572",5.1,11.93,930.6
New Denver,VL,B.C.,487,473,3,0.87,559.6
Salmo,VL,B.C.,"1,140","1,141",-0.1,2.44,466.4
Silverton,VL,B.C.,149,195,-23.6,0.35,420.8
Slocan 2,VL,B.C.,379,289,31.1,0.78,488.6
Central Okanagan 3,RDA,B.C.,"4,258","3,814",11.6,"1,245.08",3.4
Central Okanagan West 3,RDA,B.C.,"2,897","1,991",45.5,"1,173.10",2.5
Duck Lake 7,IRI,B.C.,"1,847","1,664",11,2.01,918.8
Kelowna 3,CY,B.C.,"144,576","127,390",13.5,211.85,682.4
Lake Country,DM,B.C.,"15,817","12,922",22.4,122.16,129.5
Peachland,DM,B.C.,"5,789","5,428",6.7,16.1,359.6
Tsinstikeptum 10,IRI,B.C.,"1,766","1,416",24.7,3.31,533.9
Tsinstikeptum 9,IRI,B.C.,"9,134","7,612",20,6.76,"1,351.70"
West Kelowna,CY,B.C.,"36,078","32,655",10.5,122.09,295.5
Chum Creek 2,IRI,B.C.,53,41,29.3,2.77,19.1
Columbia-Shuswap A,RDA,B.C.,"3,325","3,148",5.6,"13,434.86",0.2
Columbia-Shuswap B 3,RDA,B.C.,663,583,13.7,"9,763.80",0.1
Columbia-Shuswap C,RDA,B.C.,"8,919","7,921",12.6,506.1,17.6
Columbia-Shuswap D,RDA,B.C.,"4,400","4,044",8.8,693.67,6.3
Columbia-Shuswap E,RDA,B.C.,"1,388","1,185",17.1,"1,530.03",0.9
Columbia-Shuswap F,RDA,B.C.,"3,200","2,454",30.4,"2,652.05",1.2
Golden,T,B.C.,"3,986","3,708",7.5,11.33,351.9
Hustalen 1,IRI,B.C.,44,31,41.9,9.14,4.8
North Bay 5,IRI,B.C.,45,51,-11.8,3.66,12.3
Okanagan (Part) 1,IRI,B.C.,91,75,21.3,17.74,5.1
Quaaout 1,IRI,B.C.,284,171,66.1,17.1,16.6
Revelstoke 3,CY,B.C.,"8,275","7,562",9.4,41.28,200.5
Salmon Arm,CY,B.C.,"19,432","17,706",9.7,155.19,125.2
Salmon River 1 5,IRI,B.C.,..,39,..,16.13,..
Scotch Creek 4,IRI,B.C.,30,20,50,7.94,3.8
Sicamous,DM,B.C.,"2,613","2,429",7.6,12.8,204.2
Switsemalph,IRI,B.C.,209,127,64.6,4.79,43.6
Switsemalph 3,IRI,B.C.,64,71,-9.9,5.44,11.8
Comox,T,B.C.,"14,806","14,028",5.5,16.87,877.7
Comox 1,IRI,B.C.,291,222,31.1,0.58,499.9
Comox Valley A,RDA,B.C.,"7,926","7,213",9.9,491.34,16.1
Comox Valley B (Lazo North),RDA,B.C.,"7,392","7,095",4.2,54.08,136.7
Comox Valley C (Puntledge - Black Creek) 3,RDA,B.C.,"9,158","8,577",6.8,"1,071.86",8.5
Courtenay 3,CY,B.C.,"28,420","25,639",10.8,32.42,876.7
Cumberland,VL,B.C.,"4,447","3,753",18.5,29.04,153.1
Pentledge 2,IRI,B.C.,5,0,...,0.83,6
Chemainus 13,IRI,B.C.,818,735,11.3,11.72,69.8
Cowichan 3,IRI,B.C.,"2,420","2,066",17.1,23.15,104.5
Cowichan Lake,IRI,B.C.,20,21,-4.8,0.43,47
Cowichan Valley A,RDA,B.C.,"4,949","4,733",4.6,49.21,100.6
Cowichan Valley B,RDA,B.C.,"8,994","8,558",5.1,306.08,29.4
Cowichan Valley C,RDA,B.C.,"5,046","5,019",0.5,22.57,223.6
Cowichan Valley D,RDA,B.C.,"3,530","3,243",8.8,15.53,227.3
Cowichan Valley E,RDA,B.C.,"4,253","4,121",3.2,134.78,31.6
Cowichan Valley F,RDA,B.C.,"1,804","1,629",10.7,"1,791.88",1
Cowichan Valley G 3,RDA,B.C.,"2,442","2,315",5.5,286.9,8.5
Cowichan Valley H,RDA,B.C.,"2,603","2,446",6.4,83.02,31.4
Cowichan Valley I,RDA,B.C.,"1,423","1,206",18,505.51,2.8
Duncan,CY,B.C.,"5,047","4,944",2.1,2.06,"2,444.50"
Est-Patrolas 4,IRI,B.C.,26,23,13,0.32,80.1
Halalt 2,IRI,B.C.,156,168,-7.1,1.2,130.1
Kil-pah-las 3,IRI,B.C.,0,0,...,0.22,0
Ladysmith,T,B.C.,"8,990","8,537",5.3,12.04,746.5
Lake Cowichan,T,B.C.,"3,325","3,226",3.1,8.24,403.5
Lyacksun 3 3,IRI,B.C.,30,10,200,7.57,4
Malachan 11,IRI,B.C.,178,158,12.7,0.57,312.1
Malahat 11,IRI,B.C.,165,143,15.4,2.45,67.3
North Cowichan 3,DM,B.C.,"31,990","29,696",7.7,195.41,163.7
Oyster Bay 12,IRI,B.C.,105,77,36.4,1.23,85.5
Penelakut Island 7,IRI,B.C.,513,452,13.5,9.12,56.2
Portier Pass 5,IRI,B.C.,0,0,...,0.02,0
Shingle Point 4,IRI,B.C.,0,0,...,0.4,0
Squaw-Hay-One 11,IRI,B.C.,29,35,-17.1,0.33,88.1
Theik 2,IRI,B.C.,48,36,33.3,0.34,141.7
Tsussie 6,IRI,B.C.,82,103,-20.4,0.13,652.3
Tzart-Lam 5,IRI,B.C.,27,39,-30.8,0.07,362.4
Canal Flats,VL,B.C.,802,668,20.1,11.07,72.5
Cassimayooks (Mayook) 5,IRI,B.C.,5,0,...,0.62,8.1
Columbia Lake 3,IRI,B.C.,149,140,6.4,36.02,4.1
Cranbrook,CY,B.C.,"20,499","20,047",2.3,31.97,641.2
East Kootenay A 4,RDA,B.C.,"1,875","1,683",11.4,"4,598.88",0.4
East Kootenay B,RDA,B.C.,"2,011","1,976",1.8,"2,781.15",0.7
East Kootenay C 3,RDA,B.C.,"6,536","6,021",8.6,"4,528.65",1.4
East Kootenay E,RDA,B.C.,"1,686","1,753",-3.8,"4,254.44",0.4
East Kootenay F,RDA,B.C.,"3,521","2,726",29.2,"6,091.91",0.6
East Kootenay G 3,RDA,B.C.,"1,654","1,467",12.7,"4,656.39",0.4
Elkford,DM,B.C.,"2,749","2,499",10,108.12,25.4
Fernie 6,CY,B.C.,"6,320","5,396",17.1,15.11,418.3
Invermere,DM,B.C.,"3,917","3,391",15.5,10.75,364.4
Isidore's Ranch 4,IRI,B.C.,0,0,...,2.63,0
Kimberley,CY,B.C.,"8,115","7,425",9.3,60.51,134.1
Kootenay 1,IRI,B.C.,145,170,-14.7,74.02,2
Radium Hot Springs,VL,B.C.,"1,339",776,72.6,6.34,211.3
Shuswap 3,IRI,B.C.,319,314,1.6,11.14,28.6
Sparwood,DM,B.C.,"4,148","3,784",9.6,191.3,21.7
St. Mary's 3,IRI,B.C.,10,15,-33.3,1.36,7.4
Tobacco Plains 2,IRI,B.C.,96,75,28,41.74,2.3
Abbotsford,CY,B.C.,"153,524","141,397",8.6,375.33,409
Aitchelitch 9,IRI,B.C.,45,15,200,0.21,215.5
Albert Flat 5,IRI,B.C.,41,20,105,0.82,50.1
Boothroyd 13,IRI,B.C.,0,0,...,0.86,0
Boston Bar 1A,IRI,B.C.,0,0,...,0.4,0
Bucktum 4,IRI,B.C.,5,0,...,0.38,13.1
Chawathil 4,IRI,B.C.,182,186,-2.2,5.44,33.5
Cheam 1,IRI,B.C.,207,202,2.5,3.5,59.2
Chehalis 5,IRI,B.C.,500,537,-6.9,8.5,58.8
Chilliwack,CY,B.C.,"93,203","83,788",11.2,261.34,356.6
Douglas 8,IRI,B.C.,66,67,-1.5,3.81,17.3
Fraser Valley A,RDA,B.C.,495,405,22.2,"2,325.06",0.2
Fraser Valley B 3,RDA,B.C.,869,892,-2.6,"3,085.22",0.3
Fraser Valley C,RDA,B.C.,"1,133","1,023",10.8,"3,662.73",0.3
Fraser Valley D,RDA,B.C.,"2,092","1,529",36.8,219.38,9.5
Fraser Valley E,RDA,B.C.,"1,568","1,540",1.8,640.29,2.4
